lat,lon,adult.density,spp,year,week
37.005,-6.533783,7,Halimium halimifolium,2023,20
37.005,-6.533783,0,Lavandula stoechas,2023,20
37.013123,-6.533783,6,Halimium halimifolium,2024,17
37.013123,-6.533783,1,Lavandula stoechas,2024,17
37.013125,-6.527607,19,Halimium halimifolium,2023,20
37.013125,-6.527607,1,Lavandula stoechas,2023,20
37.013125,-6.527607,15,Halimium halimifolium,2024,17
37.013125,-6.527607,3,Lavandula stoechas,2024,17
37.013079,-6.533007,0,Halimium halimifolium,2023,20
37.013079,-6.533007,0,Lavandula stoechas,2023,20
37.013079,-6.533007,0,Halimium halimifolium,2024,17
37.013079,-6.533007,0,Lavandula stoechas,2024,17
37.013081,-6.532301,4,Halimium halimifolium,2023,20
37.013081,-6.532301,0,Lavandula stoechas,2023,20
37.013081,-6.532301,2,Halimium halimifolium,2024,17
37.013081,-6.532301,0,Lavandula stoechas,2024,17
37.013165,-6.531667,2,Halimium halimifolium,2023,20
37.013165,-6.531667,0,Lavandula stoechas,2023,20
37.013165,-6.531667,0,Halimium halimifolium,2024,17
37.013165,-6.531667,0,Lavandula stoechas,2024,17
37.013168,-6.531,4,Halimium halimifolium,2023,20
37.013168,-6.531,0,Lavandula stoechas,2023,20
37.013168,-6.531,1,Halimium halimifolium,2024,17
37.013168,-6.531,0,Lavandula stoechas,2024,17
37.013149,-6.530335,0,Halimium halimifolium,2023,20
37.013149,-6.530335,0,Lavandula stoechas,2023,20
37.013149,-6.530335,0,Halimium halimifolium,2024,17
37.013149,-6.530335,0,Lavandula stoechas,2024,17
37.013143,-6.529673,23,Halimium halimifolium,2023,20
37.013143,-6.529673,0,Lavandula stoechas,2023,20
37.013143,-6.529673,11,Halimium halimifolium,2024,17
37.013143,-6.529673,0,Lavandula stoechas,2024,17
37.013148,-6.528973,20,Halimium halimifolium,2023,20
37.013148,-6.528973,1,Lavandula stoechas,2023,20
37.013148,-6.528973,15,Halimium halimifolium,2024,17
37.013148,-6.528973,1,Lavandula stoechas,2024,17
37.013128,-6.52822,15,Halimium halimifolium,2023,20
37.013128,-6.52822,0,Lavandula stoechas,2023,20
37.013128,-6.52822,13,Halimium halimifolium,2024,17
37.013128,-6.52822,0,Lavandula stoechas,2024,17
37.007814,-6.523015,4,Halimium halimifolium,2023,20
37.007814,-6.523015,6,Lavandula stoechas,2023,20
37.007814,-6.523015,6,Halimium halimifolium,2024,17
37.007814,-6.523015,12,Lavandula stoechas,2024,17
37.007816,-6.51695,11,Halimium halimifolium,2023,20
37.007816,-6.51695,4,Lavandula stoechas,2023,20
37.007816,-6.51695,6,Halimium halimifolium,2024,17
37.007816,-6.51695,15,Lavandula stoechas,2024,17
37.007795,-6.522343,20,Halimium halimifolium,2023,20
37.007795,-6.522343,6,Lavandula stoechas,2023,20
37.007795,-6.522343,14,Halimium halimifolium,2024,17
37.007795,-6.522343,6,Lavandula stoechas,2024,17
37.007829,-6.521668,7,Halimium halimifolium,2023,20
37.007829,-6.521668,3,Lavandula stoechas,2023,20
37.007829,-6.521668,8,Halimium halimifolium,2024,17
37.007829,-6.521668,7,Lavandula stoechas,2024,17
37.007775,-6.520995,5,Halimium halimifolium,2023,20
37.007775,-6.520995,9,Lavandula stoechas,2023,20
37.007775,-6.520995,2,Halimium halimifolium,2024,17
37.007775,-6.520995,15,Lavandula stoechas,2024,17
37.007832,-6.520319,15,Halimium halimifolium,2023,20
37.007832,-6.520319,0,Lavandula stoechas,2023,20
37.007832,-6.520319,10,Halimium halimifolium,2024,17
37.007832,-6.520319,6,Lavandula stoechas,2024,17
37.007843,-6.519651,8,Halimium halimifolium,2023,20
37.007843,-6.519651,11,Lavandula stoechas,2023,20
37.007843,-6.519651,8,Halimium halimifolium,2024,17
37.007843,-6.519651,13,Lavandula stoechas,2024,17
37.007798,-6.518936,5,Halimium halimifolium,2023,20
37.007798,-6.518936,8,Lavandula stoechas,2023,20
37.007798,-6.518936,7,Halimium halimifolium,2024,17
37.007798,-6.518936,11,Lavandula stoechas,2024,17
37.00779,-6.518284,9,Halimium halimifolium,2023,20
37.00779,-6.518284,1,Lavandula stoechas,2023,20
37.00779,-6.518284,11,Halimium halimifolium,2024,17
37.00779,-6.518284,6,Lavandula stoechas,2024,17
37.007798,-6.517582,16,Halimium halimifolium,2023,20
37.007798,-6.517582,5,Lavandula stoechas,2023,20
37.007798,-6.517582,9,Halimium halimifolium,2024,17
37.007798,-6.517582,13,Lavandula stoechas,2024,17
37.005996,-6.511592,11,Halimium halimifolium,2023,20
37.005996,-6.511592,4,Lavandula stoechas,2023,20
37.005996,-6.511592,10,Halimium halimifolium,2024,17
37.005996,-6.511592,7,Lavandula stoechas,2024,17
37.005845,-6.505625,10,Halimium halimifolium,2023,20
37.005845,-6.505625,0,Lavandula stoechas,2023,20
37.005845,-6.505625,8,Halimium halimifolium,2024,17
37.005845,-6.505625,1,Lavandula stoechas,2024,17
37.006033,-6.510935,0,Halimium halimifolium,2023,20
37.006033,-6.510935,1,Lavandula stoechas,2023,20
37.006033,-6.510935,1,Halimium halimifolium,2024,17
37.006033,-6.510935,0,Lavandula stoechas,2024,17
37.005994,-6.510242,1,Halimium halimifolium,2023,20
37.005994,-6.510242,0,Lavandula stoechas,2023,20
37.005994,-6.510242,1,Halimium halimifolium,2024,17
37.005994,-6.510242,0,Lavandula stoechas,2024,17
37.00597,-6.509608,0,Halimium halimifolium,2023,20
37.00597,-6.509608,0,Lavandula stoechas,2023,20
37.00597,-6.509608,0,Halimium halimifolium,2024,17
37.00597,-6.509608,0,Lavandula stoechas,2024,17
37.005992,-6.508856,0,Halimium halimifolium,2023,20
37.005992,-6.508856,0,Lavandula stoechas,2023,20
37.005992,-6.508856,0,Halimium halimifolium,2024,17
37.005992,-6.508856,0,Lavandula stoechas,2024,17
37.006005,-6.508231,4,Halimium halimifolium,2023,20
37.006005,-6.508231,5,Lavandula stoechas,2023,20
37.006005,-6.508231,3,Halimium halimifolium,2024,17
37.006005,-6.508231,8,Lavandula stoechas,2024,17
37.006009,-6.507557,4,Halimium halimifolium,2023,20
37.006009,-6.507557,0,Lavandula stoechas,2023,20
37.006009,-6.507557,5,Halimium halimifolium,2024,17
37.006009,-6.507557,0,Lavandula stoechas,2024,17
37.005912,-6.50691,3,Halimium halimifolium,2023,20
37.005912,-6.50691,0,Lavandula stoechas,2023,20
37.005912,-6.50691,3,Halimium halimifolium,2024,17
37.005912,-6.50691,0,Lavandula stoechas,2024,17
37.005857,-6.506296,9,Halimium halimifolium,2023,20
37.005857,-6.506296,0,Lavandula stoechas,2023,20
37.005857,-6.506296,7,Halimium halimifolium,2024,17
37.005857,-6.506296,1,Lavandula stoechas,2024,17
37.001703,-6.504514,4,Halimium halimifolium,2023,20
37.001703,-6.504514,0,Lavandula stoechas,2023,20
37.001703,-6.504514,2,Halimium halimifolium,2024,17
37.001703,-6.504514,4,Lavandula stoechas,2024,17
37.001702,-6.498435,9,Halimium halimifolium,2023,20
37.001702,-6.498435,13,Lavandula stoechas,2023,20
37.001702,-6.498435,6,Halimium halimifolium,2024,17
37.001702,-6.498435,9,Lavandula stoechas,2024,17
37.001733,-6.503849,1,Halimium halimifolium,2023,20
37.001733,-6.503849,6,Lavandula stoechas,2023,20
37.001733,-6.503849,0,Halimium halimifolium,2024,17
37.001733,-6.503849,6,Lavandula stoechas,2024,17
37.0017,-6.503164,3,Halimium halimifolium,2023,20
37.0017,-6.503164,7,Lavandula stoechas,2023,20
37.0017,-6.503164,2,Halimium halimifolium,2024,17
37.0017,-6.503164,11,Lavandula stoechas,2024,17
37.00173,-6.502485,0,Halimium halimifolium,2023,20
37.00173,-6.502485,8,Lavandula stoechas,2023,20
37.00173,-6.502485,2,Halimium halimifolium,2024,17
37.00173,-6.502485,13,Lavandula stoechas,2024,17
37.0017,-6.501803,1,Halimium halimifolium,2023,20
37.0017,-6.501803,2,Lavandula stoechas,2023,20
37.0017,-6.501803,3,Halimium halimifolium,2024,17
37.0017,-6.501803,4,Lavandula stoechas,2024,17
37.001704,-6.501134,0,Halimium halimifolium,2023,20
37.001704,-6.501134,0,Lavandula stoechas,2023,20
37.001704,-6.501134,9,Halimium halimifolium,2024,17
37.001704,-6.501134,0,Lavandula stoechas,2024,17
37.001985,-6.500458,0,Halimium halimifolium,2023,20
37.001985,-6.500458,7,Lavandula stoechas,2023,20
37.001985,-6.500458,3,Halimium halimifolium,2024,17
37.001985,-6.500458,5,Lavandula stoechas,2024,17
37.001713,-6.499778,1,Halimium halimifolium,2023,20
37.001713,-6.499778,12,Lavandula stoechas,2023,20
37.001713,-6.499778,0,Halimium halimifolium,2024,17
