"plot","ndvi","year","month","day"
"CM1",137.604690551758,"1984","07","08"
"CM2",144.651626586914,"1984","07","08"
"CM3",144.357559204102,"1984","07","08"
"CM4",147.015823364258,"1984","07","08"
"CM5",148.064147949219,"1984","07","08"
"CM6",139.668930053711,"1984","07","08"
"MM1",138.014633178711,"1984","07","08"
"MM2",138.658432006836,"1984","07","08"
"MM3",136.970123291016,"1984","07","08"
"MM4",142.85920715332,"1984","07","08"
"MM5",135.261566162109,"1984","07","08"
"MM6",134.932662963867,"1984","07","08"
"OM1",136.907501220703,"1984","07","08"
"OM2",136.985580444336,"1984","07","08"
"OM3",140.072036743164,"1984","07","08"
"OM4",136.940719604492,"1984","07","08"
"OM5",140.657669067383,"1984","07","08"
"OM6",139.195281982422,"1984","07","08"
"CM1",141.829116821289,"1984","08","25"
"CM2",145.126495361328,"1984","08","25"
"CM3",149.831115722656,"1984","08","25"
"CM4",144.161743164062,"1984","08","25"
"CM5",139.47135925293,"1984","08","25"
"CM6",142.665740966797,"1984","08","25"
"MM1",139.009689331055,"1984","08","25"
"MM2",140.936416625977,"1984","08","25"
"MM3",140.443481445312,"1984","08","25"
"MM4",151.889144897461,"1984","08","25"
"MM5",137.996932983398,"1984","08","25"
"MM6",135.39338684082,"1984","08","25"
"OM1",139.400588989258,"1984","08","25"
"OM2",139.775695800781,"1984","08","25"
"OM3",142.230621337891,"1984","08","25"
"OM4",140.15119934082,"1984","08","25"
"OM5",141.400634765625,"1984","08","25"
"OM6",140.880844116211,"1984","08","25"
"CM1",150.14013671875,"1984","09","10"
"CM2",152.418899536133,"1984","09","10"
"CM3",155.855667114258,"1984","09","10"
"CM4",147.159927368164,"1984","09","10"
"CM5",147.970779418945,"1984","09","10"
"CM6",148.423629760742,"1984","09","10"
"MM1",141.017440795898,"1984","09","10"
"MM2",141.60368347168,"1984","09","10"
"MM3",141.811279296875,"1984","09","10"
"MM4",155.230056762695,"1984","09","10"
"MM5",140.080123901367,"1984","09","10"
"MM6",138.080154418945,"1984","09","10"
"OM1",144.77424621582,"1984","09","10"
"OM2",146.258148193359,"1984","09","10"
"OM3",147.06022644043,"1984","09","10"
"OM4",143.450866699219,"1984","09","10"
"OM5",145.734390258789,"1984","09","10"
"OM6",142.140914916992,"1984","09","10"
"CM1",149.420623779297,"1984","10","12"
"CM2",150.842849731445,"1984","10","12"
"CM3",153.015228271484,"1984","10","12"
"CM4",155.215835571289,"1984","10","12"
"CM5",151.697692871094,"1984","10","12"
"CM6",147.053527832031,"1984","10","12"
"MM1",143.468856811523,"1984","10","12"
"MM2",145.327743530273,"1984","10","12"
"MM3",144.691131591797,"1984","10","12"
"MM4",156.774795532227,"1984","10","12"
"MM5",141.258483886719,"1984","10","12"
"MM6",142.833770751953,"1984","10","12"
"OM1",140.969589233398,"1984","10","12"
"OM2",143.589828491211,"1984","10","12"
"OM3",144.545791625977,"1984","10","12"
"OM4",142.329498291016,"1984","10","12"
"OM5",145.860000610352,"1984","10","12"
"OM6",145.216415405273,"1984","10","12"
"CM1",141.249755859375,"1984","12","31"
"CM2",146.514556884766,"1984","12","31"
"CM3",151.794616699219,"1984","12","31"
"CM4",155.686645507812,"1984","12","31"
"CM5",153.5087890625,"1984","12","31"
"CM6",143.979034423828,"1984","12","31"
"MM1",137.704971313477,"1984","12","31"
"MM2",141.889785766602,"1984","12","31"
"MM3",141.454574584961,"1984","12","31"
"MM4",156.723052978516,"1984","12","31"
"MM5",138.613006591797,"1984","12","31"
"MM6",138.040069580078,"1984","12","31"
"OM1",136.658889770508,"1984","12","31"
"OM2",141.896453857422,"1984","12","31"
"OM3",146.427978515625,"1984","12","31"
"OM4",140.167068481445,"1984","12","31"
"OM5",146.056030273438,"1984","12","31"
"OM6",145.098037719727,"1984","12","31"
"CM1",140.674087524414,"1985","02","01"
"CM2",145.827545166016,"1985","02","01"
"CM3",147.508728027344,"1985","02","01"
"CM4",147.482269287109,"1985","02","01"
"CM5",144.976333618164,"1985","02","01"
"CM6",135.520370483398,"1985","02","01"
"MM1",136.948699951172,"1985","02","01"
"MM2",135.042251586914,"1985","02","01"
"MM3",136.81298828125,"1985","02","01"
"MM4",153.424591064453,"1985","02","01"
"MM5",132.535263061523,"1985","02","01"
