"plot","ndvi","year","month","day"
"110",146.2158203125,"1984","07","08"
"118",135.413131713867,"1984","07","08"
"117",138.536361694336,"1984","07","08"
"116",140.724716186523,"1984","07","08"
"115",137.461029052734,"1984","07","08"
"114",136.6220703125,"1984","07","08"
"113",137.279067993164,"1984","07","08"
"112",147.273239135742,"1984","07","08"
"111",149.98942565918,"1984","07","08"
"109",145.901931762695,"1984","07","08"
"100",147.147979736328,"1984","07","08"
"108",148.121627807617,"1984","07","08"
"107",150.023376464844,"1984","07","08"
"106",148.612716674805,"1984","07","08"
"105",149.273406982422,"1984","07","08"
"104",147.918228149414,"1984","07","08"
"103",147.417373657227,"1984","07","08"
"102",149.28059387207,"1984","07","08"
"101",147.872314453125,"1984","07","08"
"88",140.988464355469,"1984","07","08"
"65",148.563629150391,"1984","07","08"
"85",145.725967407227,"1984","07","08"
"82",144.217025756836,"1984","07","08"
"79",136.195739746094,"1984","07","08"
"77",127.749824523926,"1984","07","08"
"74",125.541625976562,"1984","07","08"
"71",129.057693481445,"1984","07","08"
"70",138.647384643555,"1984","07","08"
"68",141.695343017578,"1984","07","08"
"63",140.282562255859,"1984","07","08"
"51",141.156768798828,"1984","07","08"
"61",142.609069824219,"1984","07","08"
"59",141.431655883789,"1984","07","08"
"57",140.522750854492,"1984","07","08"
"56",138.825698852539,"1984","07","08"
"55",136.845840454102,"1984","07","08"
"54",128.11865234375,"1984","07","08"
"53",125.06697845459,"1984","07","08"
"52",136.020492553711,"1984","07","08"
"29",144.124206542969,"1984","07","08"
"8",161.567657470703,"1984","07","08"
"27",140.464553833008,"1984","07","08"
"26",149.917404174805,"1984","07","08"
"23",160.935745239258,"1984","07","08"
"21",159.545913696289,"1984","07","08"
"19",161.275863647461,"1984","07","08"
"17",155.327270507812,"1984","07","08"
"14",137.417266845703,"1984","07","08"
"10",148.952606201172,"1984","07","08"
"96",137.609878540039,"1984","07","08"
"73",150.417373657227,"1984","07","08"
"94",136.371948242188,"1984","07","08"
"92",138.923263549805,"1984","07","08"
"90",133.08073425293,"1984","07","08"
"87",134.312805175781,"1984","07","08"
"84",140.303939819336,"1984","07","08"
"81",135.412139892578,"1984","07","08"
"78",137.013793945312,"1984","07","08"
"76",159.146606445312,"1984","07","08"
"41",145.94694519043,"1984","07","08"
"50",151.434219360352,"1984","07","08"
"42",144.063110351562,"1984","07","08"
"43",145.378829956055,"1984","07","08"
"44",142.194320678711,"1984","07","08"
"45",143.459289550781,"1984","07","08"
"46",139.068786621094,"1984","07","08"
"47",142.898193359375,"1984","07","08"
"48",142.198928833008,"1984","07","08"
"49",140.993057250977,"1984","07","08"
"30",148.580490112305,"1984","07","08"
"7",155.135345458984,"1984","07","08"
"28",148.985214233398,"1984","07","08"
"25",154.749954223633,"1984","07","08"
"24",151.126968383789,"1984","07","08"
"22",151.147720336914,"1984","07","08"
"20",148.698486328125,"1984","07","08"
"16",146.132766723633,"1984","07","08"
"13",142.352401733398,"1984","07","08"
"11",144.960586547852,"1984","07","08"
